iter	Passed	Remaining
694	4172	1831
695	4178	1825
696	4184	1819
697	4190	1813
698	4196	1807
699	4202	1801
700	4208	1795
701	4214	1789
702	4220	1783
703	4226	1777
704	4232	1771
705	4238	1765
706	4244	1759
707	4250	1753
708	4254	1746
709	4260	1740
710	4266	1734
711	4272	1728
712	4278	1722
713	4284	1716
714	4290	1710
715	4296	1704
716	4302	1698
717	4308	1692
718	4314	1686
719	4319	1679
720	4326	1674
721	4331	1667
722	4337	1661
723	4343	1655
724	4349	1649
725	4355	1643
726	4361	1637
727	4367	1631
728	4373	1625
729	4378	1619
730	4384	1613
731	4390	1607
732	4396	1601
733	4402	1595
734	4408	1589
735	4414	1583
736	4420	1577
737	4426	1571
738	4432	1565
739	4437	1559
740	4443	1553
741	4449	1547
742	4455	1540
743	4460	1534
744	4469	1529
745	4475	1523
746	4481	1517
747	4486	1511
748	4492	1505
749	4497	1499
750	4503	1493
751	4509	1487
752	4515	1481
753	4520	1474
754	4526	1468
755	4532	1462
756	4538	1456
757	4544	1450
758	4550	1444
759	4557	1439
760	4562	1433
761	4568	1426
762	4574	1420
763	4580	1415
764	4586	1408
765	4592	1402
766	4598	1397
767	4602	1390
768	4608	1384
769	4614	1378
770	4619	1371
771	4624	1365
772	4630	1359
773	4636	1353
774	4642	1347
775	4648	1341
776	4654	1335
777	4660	1329
778	4666	1323
779	4672	1317
780	4678	1312
781	4684	1306
782	4691	1300
783	4697	1294
784	4702	1288
785	4708	1282
786	4714	1275
787	4720	1270
788	4726	1263
789	4732	1257
790	4737	1251
791	4743	1245
792	4749	1239
793	4753	1233
794	4768	1229
795	4773	1223
796	4779	1217
797	4785	1211
798	4791	1205
799	4797	1199
800	4803	1193
801	4809	1187
802	4815	1181
803	4821	1175
804	4827	1169
805	4833	1163
806	4838	1157
807	4844	1151
808	4850	1145
809	4856	1139
810	4862	1133
811	4868	1127
812	4873	1121
813	4879	1115
814	4885	1108
815	4891	1102
816	4897	1096
817	4902	1090
818	4908	1084
819	4914	1078
820	4919	1072
821	4925	1066
822	4931	1060
823	4936	1054
824	4943	1048
825	4949	1042
826	4955	1036
827	4960	1030
828	4966	1024
829	4972	1018
830	4978	1012
831	4984	1006
832	4991	1000
833	4996	994
834	5002	988
835	5008	982
836	5014	976
837	5020	970
838	5026	964
839	5033	958
840	5039	952
841	5045	946
842	5051	940
843	5057	934
844	5062	928
845	5068	922
846	5074	916
847	5080	910
848	5087	904
849	5092	898
850	5098	892
851	5104	886
852	5109	880
853	5115	874
854	5121	868
855	5127	862
856	5134	856
857	5140	850
858	5146	844
859	5152	838
860	5158	832
861	5164	826
862	5170	820
863	5176	814
864	5183	808
865	5189	802
866	5195	796
867	5201	790
868	5207	784
869	5213	778
870	5219	772
871	5224	766
872	5231	761
873	5236	754
874	5242	748
875	5248	742
876	5254	736
877	5260	730
878	5266	724
879	5272	718
880	5278	713
881	5284	706
882	5289	700
883	5295	694
884	5301	688
885	5306	682
886	5312	676
887	5317	670
888	5323	664
889	5329	658
890	5335	652
891	5340	646
892	5345	640
893	5352	634
894	5357	628
895	5363	622
896	5369	616
897	5375	610
898	5380	604
899	5386	598
900	5392	592
901	5397	586
902	5403	580
903	5409	574
904	5415	568
905	5421	562
906	5426	556
907	5432	550
908	5438	544
909	5443	538
910	5449	532
911	5455	526
912	5461	520
913	5467	514
914	5472	508
915	5478	502
916	5483	496
917	5489	490
918	5494	484
919	5501	478
920	5506	472
921	5512	466
922	5517	460
923	5523	454
924	5531	448
925	5536	442
926	5542	436
927	5548	430
928	5554	424
929	5560	418
930	5566	412
931	5570	406
932	5575	400
933	5581	394
934	5587	388
935	5593	382
936	5598	376
937	5604	370
938	5610	364
939	5616	358
940	5622	352
941	5627	346
942	5633	340
943	5639	334
944	5644	328
945	5650	322
946	5656	316
947	5661	310
948	5667	304
949	5673	298
950	5679	292
951	5685	286
952	5690	280
953	5696	274
954	5702	268
955	5708	262
956	5714	256
957	5720	250
958	5725	244
959	5731	238
960	5737	232
961	5743	226
962	5749	220
963	5754	214
964	5760	208
965	5766	202
966	5772	197
967	5778	191
968	5784	185
969	5790	179
970	5795	173
971	5801	167
972	5807	161
973	5813	155
974	5819	149
975	5825	143
976	5831	137
977	5837	131
978	5843	125
979	5849	119
980	5854	113
981	5861	107
982	5867	101
983	5873	95
984	5879	89
985	5884	83
986	5890	77
987	5897	71
988	5902	65
989	5908	59
990	5914	53
991	5920	47
992	5926	41
993	5932	35
994	5938	29
995	5944	23
996	5950	17
997	5956	11
998	5963	5
999	5968	0
