iter	Logloss
0	0.6816941596
1	0.6704653006
2	0.6598791263
3	0.6509302307
4	0.6420475371
5	0.6346232817
6	0.6257614489
7	0.6175624092
8	0.610654365
9	0.6040239206
10	0.5968046975
11	0.5883675051
12	0.5837359518
13	0.5753090442
14	0.5688451499
15	0.5587019696
16	0.5521856578
17	0.5461663127
18	0.538066067
19	0.5306331325
20	0.5241718923
21	0.5168730228
22	0.5106428944
23	0.5046524734
24	0.4975141866
25	0.4901150016
26	0.4835206566
27	0.478210326
28	0.4719443395
29	0.4652596895
30	0.4581489113
31	0.4533321981
32	0.4490713247
33	0.4434953754
34	0.4373348366
35	0.4327561034
36	0.4272712423
37	0.4224683514
38	0.418563288
39	0.41322997
40	0.4072946112
41	0.4025079137
42	0.3985477848
43	0.3940347677
44	0.3902479473
45	0.3869961911
46	0.382311159
47	0.3784791961
48	0.3743741043
49	0.3708273696
50	0.3676068081
51	0.3631922233
52	0.3589679098
53	0.3543007905
54	0.3502433243
55	0.3463454121
56	0.3423717648
57	0.3387615606
58	0.3352191125
59	0.3306427264
60	0.3268180401
61	0.3239670748
62	0.3205273543
63	0.3174909062
64	0.3148597908
65	0.3115903718
66	0.3085376423
67	0.3046216986
68	0.3017223612
69	0.2984230772
70	0.2962470764
71	0.2930135566
72	0.2906618241
73	0.2876745088
74	0.2848886152
75	0.2819462685
76	0.2797204143
77	0.2774538324
78	0.2748156824
79	0.2727378933
80	0.2701843911
81	0.2683050267
82	0.2665301138
83	0.2639311296
84	0.2614861251
85	0.2596912419
86	0.2581207042
87	0.2555547922
88	0.2532955966
89	0.2504484046
90	0.2481043455
91	0.2465521786
92	0.24492149
93	0.2431245391
94	0.2410163534
95	0.2393035445
96	0.2369580439
97	0.2353553846
98	0.2341720442
99	0.231881812
100	0.2302445817
101	0.2283386238
102	0.2260192404
103	0.2242185565
104	0.2231778607
105	0.2214822475
106	0.2193172362
107	0.2177486181
108	0.2160653516
109	0.2144628226
110	0.2128454747
111	0.2108749064
112	0.210083749
113	0.2093872598
114	0.2081831837
115	0.2061762607
116	0.2046203327
117	0.2030938907
118	0.2015024525
119	0.2003246746
120	0.199363901
121	0.1981618574
122	0.1963246385
123	0.1949137052
124	0.1936259148
125	0.1922590504
126	0.190870515
127	0.1895717052
128	0.1885966621
129	0.1873332923
130	0.186267809
131	0.1851581683
132	0.1838753296
133	0.1827638663
134	0.1817999285
135	0.1805674814
136	0.1798596843
137	0.179173766
138	0.1780916032
139	0.1772482173
140	0.1763315726
141	0.174954756
142	0.1743623022
143	0.1732047384
144	0.1723537312
145	0.1712110511
146	0.1704450854
147	0.169590133
148	0.1688427361
149	0.1678378928
150	0.1672458497
151	0.1665475191
152	0.1655256406
153	0.1642972478
154	0.1633867186
155	0.1624458526
156	0.1618520511
157	0.1610188885
158	0.1602232244
159	0.1594200902
160	0.1588770969
161	0.1584554313
162	0.1580505114
163	0.157311599
164	0.1562255706
165	0.1555156188
166	0.1544302118
167	0.1537411879
168	0.1528985709
169	0.1517178998
170	0.1510562423
171	0.1502736087
172	0.1493955773
173	0.1486827935
174	0.1482323885
175	0.1473796649
176	0.1466263301
177	0.1458788424
178	0.1450513579
179	0.1443393711
180	0.1437775384
181	0.1428152595
182	0.1423227579
183	0.1414036622
184	0.1407317862
185	0.1401787086
186	0.1395415258
187	0.1389133107
188	0.138306039
189	0.1377734896
190	0.1370586706
191	0.136476823
192	0.1357178116
193	0.1348055575
194	0.1341254068
195	0.1335646676
196	0.1329271583
197	0.1324657244
198	0.1316501084
199	0.13112919
200	0.1305842425
201	0.1300878838
202	0.1295100474
203	0.1287648269
204	0.1283356765
205	0.1276752564
206	0.1270199812
207	0.1264524827
208	0.1260121089
209	0.1253841109
210	0.1246982051
211	0.1241665962
212	0.1237690589
213	0.1232841992
214	0.1231229748
215	0.1227572812
216	0.1224111046
217	0.1219116496
218	0.1215686686
219	0.12114234
220	0.1208545938
221	0.120306234
222	0.1198860438
223	0.1197217528
224	0.1191528338
225	0.1188736175
226	0.1182547772
227	0.1179033106
228	0.1177142168
229	0.1172000757
230	0.1166966155
231	0.1164776081
232	0.1161096239
233	0.1156807862
234	0.1154895355
235	0.1149502735
236	0.1144347765
237	0.1139367335
238	0.1136001204
239	0.1131492741
240	0.1127908998
241	0.1124847718
242	0.1119929649
243	0.1116387245
244	0.1111679289
245	0.1107784661
246	0.1105430346
247	0.1100689636
248	0.109765308
249	0.1091917147
250	0.1086815223
251	0.1083842446
252	0.1080475275
253	0.1077739282
254	0.1075301348
255	0.1072949248
256	0.1068369802
257	0.1065529995
258	0.1061036361
259	0.1056950792
260	0.1054065146
261	0.1050567889
262	0.104664622
263	0.1043069554
264	0.1041843085
265	0.1039013574
266	0.1036996006
267	0.1034029206
268	0.1031040514
269	0.1028829799
270	0.1024258399
271	0.1022020912
272	0.1017103736
273	0.1015205227
274	0.1012829442
275	0.1010282231
276	0.1006700647
277	0.1004040845
278	0.10012088
279	0.09975219072
280	0.09947898566
281	0.09918349514
282	0.09874049773
283	0.09839154245
284	0.09811564172
285	0.09792911622
286	0.0976604355
287	0.09751413937
288	0.09733338806
289	0.09687168175
290	0.09657548774
291	0.0961290489
292	0.09577828574
293	0.09548304413
294	0.09515877773
295	0.09494465103
296	0.0947521401
297	0.09437414366
298	0.09406645669
299	0.09394754408
300	0.09353908817
301	0.09320691305
302	0.09291421589
303	0.09255280425
304	0.09233263285
305	0.09207406979
306	0.09194806213
307	0.09170649895
308	0.09157512099
309	0.09122301662
310	0.09080458156
311	0.09048412763
